cAzimuth,cElevation,time
70.0,20.0,1848.0
90.0,20.0,1852.0
50.0,20.0,1856.0
10.0,20.0,1860.0
-30.0,20.0,1864.0
-70.0,20.0,1868.0
-90.0,20.0,1872.0
-50.0,20.0,1876.0
-10.0,20.0,1880.0
30.0,20.0,1884.0
70.0,20.0,1888.0
90.0,20.0,1892.0
50.0,20.0,1896.0
10.0,20.0,1900.0
-30.0,20.0,1904.0
-70.0,20.0,1908.0
-90.0,20.0,1912.0
-50.0,20.0,1916.0
-10.0,20.0,1920.0
30.0,20.0,1924.0
70.0,20.0,1928.0
90.0,20.0,1932.0
50.0,20.0,1936.0
10.0,20.0,1940.0
-30.0,20.0,1944.0
-70.0,20.0,1948.0
-90.0,20.0,1952.0
-50.0,20.0,1956.0
-10.0,20.0,1960.0
30.0,20.0,1964.0
70.0,20.0,1968.0
90.0,20.0,1972.0
50.0,20.0,1976.0
10.0,20.0,1980.0
-30.0,20.0,1984.0
-70.0,20.0,1988.0
-90.0,20.0,1992.0
-50.0,20.0,1996.0
-10.0,20.0,2000.0
30.0,20.0,2004.0
70.0,20.0,2008.0
90.0,20.0,2012.0
50.0,20.0,2016.0
10.0,20.0,2020.0
-30.0,20.0,2024.0
-70.0,20.0,2028.0
-90.0,20.0,2032.0
-50.0,20.0,2036.0
-10.0,20.0,2040.0
30.0,20.0,2044.0
70.0,20.0,2048.0
90.0,20.0,2052.0
50.0,20.0,2056.0
10.0,20.0,2060.0
-30.0,20.0,2064.0
-70.0,20.0,2068.0
-90.0,20.0,2072.0
-50.0,20.0,2076.0
-10.0,20.0,2080.0
30.0,20.0,2084.0
70.0,20.0,2088.0
90.0,20.0,2092.0
50.0,20.0,2096.0
10.0,20.0,2100.0
-30.0,20.0,2104.0
-70.0,20.0,2108.0
-90.0,20.0,2112.0
-50.0,20.0,2116.0
-10.0,20.0,2120.0
30.0,20.0,2124.0
70.0,20.0,2128.0
90.0,20.0,2132.0
50.0,20.0,2136.0
10.0,20.0,2140.0
-30.0,20.0,2144.0
-70.0,20.0,2148.0
-90.0,20.0,2152.0
-50.0,20.0,2156.0
-10.0,20.0,2160.0
30.0,20.0,2164.0
70.0,20.0,2168.0
90.0,20.0,2172.0
50.0,20.0,2176.0
10.0,20.0,2180.0
-30.0,20.0,2184.0
-70.0,20.0,2188.0
-90.0,20.0,2192.0
-50.0,20.0,2196.0
-10.0,20.0,2200.0
30.0,20.0,2204.0
70.0,20.0,2208.0
90.0,20.0,2212.0
50.0,20.0,2216.0
10.0,20.0,2220.0
-30.0,20.0,2224.0
-70.0,20.0,2228.0
-90.0,20.0,2232.0
-50.0,20.0,2236.0
-10.0,20.0,2240.0
30.0,20.0,2244.0
70.0,20.0,2248.0
90.0,20.0,2252.0
50.0,20.0,2256.0
10.0,20.0,2260.0
-30.0,20.0,2264.0
-70.0,20.0,2268.0
-90.0,20.0,2272.0
-50.0,20.0,2276.0
-10.0,20.0,2280.0
30.0,20.0,2284.0
70.0,20.0,2288.0
90.0,20.0,2292.0
50.0,20.0,2296.0
10.0,20.0,2300.0
-30.0,20.0,2304.0
-70.0,20.0,2308.0
-90.0,20.0,2312.0
-50.0,20.0,2316.0
-10.0,20.0,2320.0
30.0,20.0,2324.0
70.0,20.0,2328.0
90.0,20.0,2332.0
50.0,20.0,2336.0
10.0,20.0,2340.0
-30.0,20.0,2344.0
-70.0,20.0,2348.0
-90.0,20.0,2352.0
-50.0,20.0,2356.0
-10.0,20.0,2360.0
30.0,20.0,2364.0
70.0,20.0,2368.0
90.0,20.0,2372.0
50.0,20.0,2376.0
10.0,20.0,2380.0
-30.0,20.0,2384.0
-70.0,20.0,2388.0
-90.0,20.0,2392.0
-50.0,20.0,2396.0
-10.0,20.0,2400.0
30.0,20.0,2404.0
70.0,20.0,2408.0
90.0,20.0,2412.0
50.0,20.0,2416.0
10.0,20.0,2420.0
-30.0,20.0,2424.0
-70.0,20.0,2428.0
-90.0,20.0,2432.0
-50.0,20.0,2436.0
-10.0,20.0,2440.0
30.0,20.0,2444.0
70.0,20.0,2448.0
90.0,20.0,2452.0
50.0,20.0,2456.0
10.0,20.0,2460.0
-30.0,20.0,2464.0
-70.0,20.0,2468.0
-90.0,20.0,2472.0
-50.0,20.0,2476.0
-10.0,20.0,2480.0
30.0,20.0,2484.0
70.0,20.0,2488.0
90.0,20.0,2492.0
50.0,20.0,2496.0
10.0,20.0,2500.0
-30.0,20.0,2504.0
-70.0,20.0,2508.0
-90.0,20.0,2512.0
-50.0,20.0,2516.0
-10.0,20.0,2520.0
30.0,20.0,2524.0
70.0,20.0,2528.0
90.0,20.0,2532.0
50.0,20.0,2536.0
10.0,20.0,2540.0
-30.0,20.0,2544.0
-70.0,20.0,2548.0
-90.0,20.0,2552.0
-50.0,20.0,2556.0
-10.0,20.0,2560.0
30.0,20.0,2564.0
70.0,20.0,2568.0
90.0,20.0,2572.0
50.0,20.0,2576.0
10.0,20.0,2580.0
-30.0,20.0,2584.0
-70.0,20.0,2588.0
