cAzimuth,cElevation,time
60.0,70.0,2620.0
90.0,70.0,2622.0
60.0,70.0,2624.0
30.0,70.0,2626.0
0.0,70.0,2628.0
-30.0,70.0,2630.0
-60.0,70.0,2632.0
-90.0,70.0,2634.0
-60.0,70.0,2636.0
-30.0,70.0,2638.0
0.0,70.0,2640.0
30.0,70.0,2642.0
60.0,70.0,2644.0
90.0,70.0,2646.0
60.0,70.0,2648.0
30.0,70.0,2650.0
0.0,70.0,2652.0
-30.0,70.0,2654.0
-60.0,70.0,2656.0
-90.0,70.0,2658.0
-60.0,70.0,2660.0
-30.0,70.0,2662.0
0.0,70.0,2664.0
30.0,70.0,2666.0
60.0,70.0,2668.0
90.0,70.0,2670.0
60.0,70.0,2672.0
30.0,70.0,2674.0
0.0,70.0,2676.0
-30.0,70.0,2678.0
-60.0,70.0,2680.0
-90.0,70.0,2682.0
-60.0,70.0,2684.0
-30.0,70.0,2686.0
0.0,70.0,2688.0
30.0,70.0,2690.0
60.0,70.0,2692.0
90.0,70.0,2694.0
60.0,70.0,2696.0
30.0,70.0,2698.0
0.0,70.0,2700.0
-30.0,70.0,2702.0
-60.0,70.0,2704.0
-90.0,70.0,2706.0
-60.0,70.0,2708.0
-30.0,70.0,2710.0
0.0,70.0,2712.0
30.0,70.0,2714.0
60.0,70.0,2716.0
90.0,70.0,2718.0
60.0,70.0,2720.0
30.0,70.0,2722.0
0.0,70.0,2724.0
-30.0,70.0,2726.0
-60.0,70.0,2728.0
-90.0,70.0,2730.0
-60.0,70.0,2732.0
-30.0,70.0,2734.0
0.0,70.0,2736.0
30.0,70.0,2738.0
60.0,70.0,2740.0
90.0,70.0,2742.0
60.0,70.0,2744.0
30.0,70.0,2746.0
0.0,70.0,2748.0
-30.0,70.0,2750.0
-60.0,70.0,2752.0
-90.0,70.0,2754.0
-60.0,70.0,2756.0
-30.0,70.0,2758.0
0.0,70.0,2760.0
30.0,70.0,2762.0
60.0,70.0,2764.0
90.0,70.0,2766.0
60.0,70.0,2768.0
30.0,70.0,2770.0
0.0,70.0,2772.0
-30.0,70.0,2774.0
-60.0,70.0,2776.0
-90.0,70.0,2778.0
-60.0,70.0,2780.0
-30.0,70.0,2782.0
0.0,70.0,2784.0
30.0,70.0,2786.0
60.0,70.0,2788.0
90.0,70.0,2790.0
60.0,70.0,2792.0
30.0,70.0,2794.0
0.0,70.0,2796.0
-30.0,70.0,2798.0
-60.0,70.0,2800.0
-90.0,70.0,2802.0
-60.0,70.0,2804.0
-30.0,70.0,2806.0
0.0,70.0,2808.0
30.0,70.0,2810.0
60.0,70.0,2812.0
90.0,70.0,2814.0
60.0,70.0,2816.0
30.0,70.0,2818.0
0.0,70.0,2820.0
-30.0,70.0,2822.0
-60.0,70.0,2824.0
-90.0,70.0,2826.0
-60.0,70.0,2828.0
-30.0,70.0,2830.0
0.0,70.0,2832.0
30.0,70.0,2834.0
60.0,70.0,2836.0
90.0,70.0,2838.0
60.0,70.0,2840.0
30.0,70.0,2842.0
0.0,70.0,2844.0
-30.0,70.0,2846.0
-60.0,70.0,2848.0
-90.0,70.0,2850.0
-60.0,70.0,2852.0
-30.0,70.0,2854.0
0.0,70.0,2856.0
30.0,70.0,2858.0
60.0,70.0,2860.0
90.0,70.0,2862.0
60.0,70.0,2864.0
30.0,70.0,2866.0
0.0,70.0,2868.0
-30.0,70.0,2870.0
-60.0,70.0,2872.0
-90.0,70.0,2874.0
-60.0,70.0,2876.0
-30.0,70.0,2878.0
0.0,70.0,2880.0
30.0,70.0,2882.0
60.0,70.0,2884.0
90.0,70.0,2886.0
60.0,70.0,2888.0
30.0,70.0,2890.0
0.0,70.0,2892.0
-30.0,70.0,2894.0
-60.0,70.0,2896.0
-90.0,70.0,2898.0
-60.0,70.0,2900.0
-30.0,70.0,2902.0
0.0,70.0,2904.0
30.0,70.0,2906.0
60.0,70.0,2908.0
90.0,70.0,2910.0
60.0,70.0,2912.0
30.0,70.0,2914.0
0.0,70.0,2916.0
-30.0,70.0,2918.0
-60.0,70.0,2920.0
-90.0,70.0,2922.0
-60.0,70.0,2924.0
-30.0,70.0,2926.0
0.0,70.0,2928.0
30.0,70.0,2930.0
60.0,70.0,2932.0
90.0,70.0,2934.0
60.0,70.0,2936.0
30.0,70.0,2938.0
0.0,70.0,2940.0
-30.0,70.0,2942.0
-60.0,70.0,2944.0
-90.0,70.0,2946.0
-60.0,70.0,2948.0
-30.0,70.0,2950.0
0.0,70.0,2952.0
30.0,70.0,2954.0
60.0,70.0,2956.0
90.0,70.0,2958.0
60.0,70.0,2960.0
30.0,70.0,2962.0
0.0,70.0,2964.0
-30.0,70.0,2966.0
-60.0,70.0,2968.0
-90.0,70.0,2970.0
-60.0,70.0,2972.0
-30.0,70.0,2974.0
0.0,70.0,2976.0
30.0,70.0,2978.0
60.0,70.0,2980.0
90.0,70.0,2982.0
60.0,70.0,2984.0
30.0,70.0,2986.0
0.0,70.0,2988.0
